borrower_id,age,gender,nationality,is_high_risk_nationality,country_of_residence,is_high_risk_country,job_title,is_high_risk_job,registration_date,income_bracket,sector,region
1f8714bc-64c0-4c0f-8475-61900574b2f5,42,Female,Ghana,False,KSA,False,Doctor,False,2024-06-19,High,Retail,Central
58331088-d0bc-4075-a142-71d730cd691d,44,Male,Mauritania,False,Egypt,False,Professor,False,2023-06-09,Low,Retail,Central
705d907d-32ca-427c-8b2f-e0aef8332834,36,Female,Sudan,True,UAE,False,Driver,True,2022-03-12,Low,Retail,Eastern
851051c2-cd43-42b7-b37c-a206b2442933,41,Female,Qatar,False,Egypt,False,Software Developer,False,2021-05-06,High,Retail,Central
c973393d-c0c1-4c5b-bc5d-80e9d94f046d,38,Female,India,False,KSA,False,Sales Representative,True,2022-01-26,Medium,Retail,Central
ce8be2ae-a32a-4dcb-94b5-56aba01f6156,52,Male,Germany,False,Egypt,False,Supply Chain Manager,False,2023-05-27,High,Retail,Central
d601a677-a341-45e2-b18b-c0a7ba508e87,31,Male,Cameroon,True,Egypt,False,Logistics Coordinator,False,2022-01-09,Medium,Retail,Eastern
3942af64-a97c-48df-8759-2bcdfb42d37f,43,Female,Thailand,False,UAE,False,Laborer,True,2024-10-22,Medium,Retail,Western
aa98d63c-9f49-4745-b730-56347de64efa,37,Male,Qatar,False,UAE,False,Nurse,False,2022-12-22,High,Services,Central
717b780f-dbfb-4356-9a92-bd5246461bd0,23,Female,Oman,False,KSA,False,Site Supervisor,False,2023-06-06,Medium,Services,Central
9d804544-230d-4a24-85fd-f0a183bdd074,41,Male,France,False,Egypt,False,Accountant,False,2022-08-11,High,Industrial,Central
79096ed9-4c36-4d33-930d-083d1dec9433,40,Male,India,False,KSA,False,Chef,True,2024-12-29,Medium,Retail,Western
0ec0621c-fab4-4a67-b2b6-02075725df27,51,Male,Yemen,True,UAE,False,Customer Service Agent,True,2023-10-02,High,Industrial,Central
e9e6c91e-e5bf-413c-b5a2-441d9d542b27,44,Male,Syria,True,KSA,False,Surgeon,False,2021-07-17,Medium,Tech,Western
21d13a75-8e1b-4e71-a5ca-4d39645c9dc6,36,Male,Pakistan,False,UAE,False,Surgeon,False,2023-04-16,Low,Industrial,Central
a1882ab8-5397-4314-8076-e17344fbc729,47,Female,Sri Lanka,False,Egypt,False,IT Specialist,False,2022-11-27,Medium,Retail,Eastern
d46fd7dd-1ef6-4ec5-8f5f-4ca430972e8a,38,Male,Ghana,False,Egypt,False,Trader,True,2024-11-05,Medium,Services,Eastern
8fca159b-4b5d-433a-8522-b991f892b30a,33,Female,Kenya,False,UAE,False,Trader,True,2021-07-28,Low,Services,Central
fd92173f-9ce6-4433-ab0b-b9a34b08db63,39,Male,Syria,True,UAE,False,IT Specialist,False,2020-04-16,Medium,Industrial,Western
9b777824-12d2-4aa3-a47b-c6271ea8416e,30,Male,Uganda,False,KSA,False,Dentist,False,2024-03-22,Low,Retail,Western
a0ce8c53-586f-4874-89b9-300d59a4438b,39,Male,Australia,False,KSA,False,IT Specialist,False,2021-09-13,Medium,Industrial,Southern
3364b12a-e0a1-4bff-b427-1b667532ccf7,53,Male,Myanmar,True,KSA,False,HR Manager,False,2024-08-18,Medium,Retail,Western
10de8581-f504-496d-b16f-8cea2633dd69,34,Female,Eritrea,False,KSA,False,Civil Engineer,False,2023-08-14,Medium,Tech,Eastern
044088d3-1ca8-45ca-a442-3a88b2a8bca5,34,Female,Palestine,False,Egypt,False,Accountant,False,2023-01-24,Medium,Industrial,Southern
e44e7e34-a9e7-4bfb-aecb-6520b8cdd4a0,31,Male,Cambodia,False,Egypt,False,Accountant,False,2025-03-05,High,Industrial,Eastern
87622812-dc6f-40f2-962e-78b97c28a091,33,Female,Cambodia,False,UAE,False,Dentist,False,2022-08-05,Medium,Retail,Western
61b5dfff-5895-403f-9abc-d35c2d74a730,55,Male,Brazil,False,Egypt,False,Electrician,False,2020-10-09,Medium,Tech,Central
2493ee51-5f90-43de-8771-2ccc090955b0,35,Male,Jordan,False,UAE,False,Radiologist,False,2025-01-18,Medium,Industrial,Eastern
88396b3e-8d55-4a57-ad79-67c3a7e40dfb,33,Female,Nigeria,True,Egypt,False,Nurse,False,2021-10-03,High,Retail,Western
58f97c63-9224-466e-9cbd-62b97daf2de5,32,Female,Spain,False,Egypt,False,Legal Advisor,False,2020-03-03,High,Tech,Western
b59b3f68-d8d8-4715-b18d-438c46399c9d,37,Male,USA,False,KSA,False,Plumber,False,2022-07-06,Low,Tech,Western
